description,insurance_type,claim_type,severity,department
Куфарът на клиента е изгубен по време на полет.,Travel,Lost baggage,High,Travel Claims
Застрахованото лице е починало след тежък инцидент. Налични са снимки на увредените части.,Accident,Death benefit,Critical,Accident Claims
По първоначална информация Клиентът е посетил специалист и е заплатил преглед. Подадено е уведомление към застрахователя.,Health,Outpatient treatment,Low,Health Claims
"В уведомлението е посочено, че Представени са фактури за консултация и изследвания. Подадено е уведомление към застрахователя.",Health,Outpatient treatment,Low,Health Claims
Градушка е счупила предното стъкло и е нанесла щети по боята. Налични са снимки на увредените части.,Auto,Hail,Medium,Motor Claims
"Клиентът съобщава, че Подадена е претенция за възстановяване на разходи за операция. Необходима е допълнителна проверка на обстоятелствата.",Health,Surgery,Critical,Health Claims
"Клиентът съобщава, че След спукана тръба са увредени мебели и стени. Налични са снимки на увредените части.",Property,Flood,Medium,Property Claims
По първоначална информация Подадена е претенция за смъртно обезщетение. Необходима е допълнителна проверка на обстоятелствата.,Accident,Death benefit,Critical,Accident Claims
"Клиентът съобщава, че По време на пътуване е възникнала нужда от медицинска евакуация.",Travel,Emergency evacuation,High,Travel Claims
"В уведомлението е посочено, че Градушка е счупила предното стъкло и е нанесла щети по боята.",Auto,Hail,Low,Motor Claims
"Клиентът съобщава, че След силна градушка автомобилът има вдлъбнатини по капака и покрива. Клиентът представя документи за събитието.",Auto,Hail,Low,Motor Claims
По първоначална информация Представени са рецепта и фактура за медикаменти.,Health,Medication reimbursement,Low,Health Claims
По първоначална информация Счупено е страничното стъкло на автомобила. Подадено е уведомление към застрахователя.,Auto,Glass damage,Medium,Motor Claims
По първоначална информация Пожар е унищожил част от кухнята. Клиентът представя документи за събитието.,Property,Fire,High,Property Claims
Къщата е засегната от пожар и има опушени стени. Необходима е допълнителна проверка на обстоятелствата.,Property,Fire,High,Property Claims
"Клиентът съобщава, че Клиентът е отговорен за материални щети към трета страна. Налични са снимки на увредените части.",Liability,Property damage,High,Liability Claims
Необходима е спешна евакуация по медицински причини. Клиентът представя документи за събитието.,Travel,Emergency evacuation,Critical,Travel Claims
По време на пътуване са направени медицински разходи.,Travel,Medical expenses,High,Travel Claims
"Клиентът съобщава, че Пострадалият има счупена кост след злополука.",Accident,Fracture,High,Accident Claims
След удар с диво животно има повредена броня и радиатор. Клиентът представя документи за събитието.,Auto,Animal collision,High,Motor Claims
По първоначална информация Има страничен удар в лявата врата след ПТП. Клиентът представя документи за събитието.,Auto,Side collision,High,Motor Claims
"Клиентът съобщава, че Полетът е закъснял с повече от шест часа. Налични са снимки на увредените части.",Travel,Flight delay,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът е временно нетрудоспособен след злополука. Подадено е уведомление към застрахователя.",Accident,Temporary disability,High,Accident Claims
"В уведомлението е посочено, че Друг водач е отнел предимство и е ударил автомобила отстрани. Необходима е допълнителна проверка на обстоятелствата.",Auto,Side collision,Medium,Motor Claims
Багажът не е пристигнал на летището. Подадено е уведомление към застрахователя.,Travel,Lost baggage,High,Travel Claims
Друг водач е отнел предимство и е ударил автомобила отстрани. Подадено е уведомление към застрахователя.,Auto,Side collision,High,Motor Claims
По първоначална информация Автомобилът е надраскан умишлено с остър предмет. Клиентът представя документи за събитието.,Auto,Vandalism,Medium,Motor Claims
"Клиентът съобщава, че Настъпила е смърт вследствие на злополука. Необходима е допълнителна проверка на обстоятелствата.",Accident,Death benefit,Critical,Accident Claims
Клиентът има постоянни увреждания след инцидент. Подадено е уведомление към застрахователя.,Accident,Permanent disability,High,Accident Claims
"Клиентът съобщава, че Неизвестни лица са проникнали в имота и са откраднали имущество. Подадено е уведомление към застрахователя.",Property,Theft,High,Property Claims
Счупено е огледало и има следи от вандализъм. Налични са снимки на увредените части.,Auto,Vandalism,Medium,Motor Claims
Силен вятър е повредил прозорци и външна изолация. Необходима е допълнителна проверка на обстоятелствата.,Property,Storm,Medium,Property Claims
"В уведомлението е посочено, че Повредена е електроника след късо съединение. Налични са снимки на увредените части.",Property,Electrical damage,Low,Property Claims
Автомобилът е откраднат през нощта от паркинг. Налични са снимки на увредените части.,Auto,Theft,High,Motor Claims
"В уведомлението е посочено, че Необходими са адвокатски разходи за защита. Необходима е допълнителна проверка на обстоятелствата.",Liability,Legal expenses,Medium,Liability Claims
"Клиентът съобщава, че Куфарът е получен със значително закъснение.",Travel,Delayed baggage,Medium,Travel Claims
"Клиентът съобщава, че Паднали керемиди са причинили щети по тавана. Налични са снимки на увредените части.",Property,Roof damage,High,Property Claims
"В уведомлението е посочено, че При ремонт са повредени вещи на трето лице. Клиентът представя документи за събитието.",Liability,Property damage,Medium,Liability Claims
"В уведомлението е посочено, че Клиентът иска възстановяване на разходи за лекарства.",Health,Medication reimbursement,Medium,Health Claims
"Клиентът съобщава, че Клиентът е отговорен за материални щети към трета страна.",Liability,Property damage,Medium,Liability Claims
По първоначална информация Силен вятър е повредил прозорци и външна изолация. Налични са снимки на увредените части.,Property,Storm,Medium,Property Claims
По първоначална информация Пътуването е прекъснато поради отменен полет. Налични са снимки на увредените части.,Travel,Flight cancellation,Medium,Travel Claims
По първоначална информация Неизвестно лице е повредило боята и фаровете. Подадено е уведомление към застрахователя.,Auto,Vandalism,Medium,Motor Claims
"В уведомлението е посочено, че Извършено е амбулаторно лечение. Налични са снимки на увредените части.",Health,Outpatient treatment,Medium,Health Claims
"Клиентът съобщава, че Неизвестно лице е повредило боята и фаровете. Подадено е уведомление към застрахователя.",Auto,Vandalism,Medium,Motor Claims
Багажът не е пристигнал на летището. Необходима е допълнителна проверка на обстоятелствата.,Travel,Lost baggage,High,Travel Claims
По първоначална информация Извършена е хирургична интервенция по медицински показания. Налични са снимки на увредените части.,Health,Surgery,Critical,Health Claims
По първоначална информация Повредена е електроника след късо съединение. Клиентът представя документи за събитието.,Property,Electrical damage,Medium,Property Claims
Спукана тръба е причинила щети по стените и тавана. Необходима е допълнителна проверка на обстоятелствата.,Property,Burst pipe,High,Property Claims
"В уведомлението е посочено, че В жилището е възникнал пожар и са повредени мебели и електроуреди. Налични са снимки на увредените части.",Property,Fire,Critical,Property Claims
По първоначална информация Предното стъкло е спукано от камък по време на движение. Налични са снимки на увредените части.,Auto,Glass damage,Low,Motor Claims
"Клиентът съобщава, че Има страничен удар в лявата врата след ПТП. Клиентът представя документи за събитието.",Auto,Side collision,Medium,Motor Claims
"Клиентът съобщава, че Клиентът е бил хоспитализиран за няколко дни.",Health,Hospitalization,Medium,Health Claims
"В уведомлението е посочено, че Счупено е огледало и има следи от вандализъм. Подадено е уведомление към застрахователя.",Auto,Vandalism,Low,Motor Claims
По първоначална информация По автомобила има множество следи от градушка. Подадено е уведомление към застрахователя.,Auto,Hail,Low,Motor Claims
След удар с диво животно има повредена броня и радиатор. Налични са снимки на увредените части.,Auto,Animal collision,High,Motor Claims
"Клиентът съобщава, че Пожар е унищожил част от кухнята. Подадено е уведомление към застрахователя.",Property,Fire,High,Property Claims
Вода е навлязла в купето и е повредила електрониката. Налични са снимки на увредените части.,Auto,Flood,High,Motor Claims
"В уведомлението е посочено, че Клиентът съобщава за удар отзад и повреден багажник.",Auto,Rear-end collision,High,Motor Claims
"В уведомлението е посочено, че След пренапрежение са изгорели електроуреди. Клиентът представя документи за събитието.",Property,Electrical damage,Medium,Property Claims
"В уведомлението е посочено, че При ремонт са повредени вещи на трето лице. Налични са снимки на увредените части.",Liability,Property damage,Medium,Liability Claims
"В уведомлението е посочено, че Клиентът е останал без багаж при пристигане. Налични са снимки на увредените части.",Travel,Delayed baggage,Low,Travel Claims
"В уведомлението е посочено, че Клиентът е получил лечение в болница в чужбина. Подадено е уведомление към застрахователя.",Travel,Medical expenses,Medium,Travel Claims
"Клиентът съобщава, че Автомобилът е ударен отзад на кръстовище и има повреди по бронята. Клиентът представя документи за събитието.",Auto,Collision,High,Motor Claims
Счупено е страничното стъкло на автомобила.,Auto,Glass damage,Medium,Motor Claims
По първоначална информация Откраднати са гуми и джанти от автомобила. Необходима е допълнителна проверка на обстоятелствата.,Auto,Theft,Critical,Motor Claims
Неизвестни лица са проникнали в имота и са откраднали имущество. Налични са снимки на увредените части.,Property,Theft,High,Property Claims
Полетът е отменен и клиентът е направил допълнителни разходи. Подадено е уведомление към застрахователя.,Travel,Flight cancellation,High,Travel Claims
Колата е била паркирана в подземен гараж при наводнение. Клиентът представя документи за събитието.,Auto,Flood,High,Motor Claims
Клиентът е посетил специалист и е заплатил преглед. Клиентът представя документи за събитието.,Health,Outpatient treatment,Medium,Health Claims
По първоначална информация Апартаментът е наводнен след авария в банята. Подадено е уведомление към застрахователя.,Property,Flood,Medium,Property Claims
По първоначална информация Автомобилът е ударен отзад пред жилищен блок и има повреди по бронята. Клиентът представя документи за събитието.,Auto,Collision,Medium,Motor Claims
По време на пътуване са направени медицински разходи. Налични са снимки на увредените части.,Travel,Medical expenses,High,Travel Claims
"Клиентът съобщава, че Клиентът е отговорен за материални щети към трета страна. Подадено е уведомление към застрахователя.",Liability,Property damage,High,Liability Claims
По първоначална информация Клиентът съобщава за кражба на автомобила пред блока. Налични са снимки на увредените части.,Auto,Theft,Critical,Motor Claims
По първоначална информация Причинена е телесна повреда на друго лице. Налични са снимки на увредените части.,Liability,Bodily injury,High,Liability Claims
По първоначална информация Клиентът съобщава за кражба на автомобила пред блока. Клиентът представя документи за събитието.,Auto,Theft,Critical,Motor Claims
По първоначална информация Неизвестно лице е повредило боята и фаровете. Налични са снимки на увредените части.,Auto,Vandalism,Medium,Motor Claims
По първоначална информация При ремонт са повредени вещи на трето лице. Налични са снимки на увредените части.,Liability,Property damage,Medium,Liability Claims
Багажът не е пристигнал на летището. Подадено е уведомление към застрахователя.,Travel,Lost baggage,High,Travel Claims
"Клиентът съобщава, че Клиентът е претърпял операция и представя болнични документи. Клиентът представя документи за събитието.",Health,Surgery,Critical,Health Claims
"Клиентът съобщава, че Паднали керемиди са причинили щети по тавана.",Property,Roof damage,High,Property Claims
"Клиентът съобщава, че Буря е нанесла щети по фасадата на къщата. Необходима е допълнителна проверка на обстоятелствата.",Property,Storm,Medium,Property Claims
Къщата е засегната от пожар и има опушени стени. Налични са снимки на увредените части.,Property,Fire,High,Property Claims
Автомобилът е ударен отзад на светофар и задната броня е счупена. Клиентът представя документи за събитието.,Auto,Rear-end collision,Medium,Motor Claims
По първоначална информация Друг водач е отнел предимство и е ударил автомобила отстрани. Клиентът представя документи за събитието.,Auto,Side collision,High,Motor Claims
Автомобилът е ударен странично на кръстовище.,Auto,Side collision,Medium,Motor Claims
"Клиентът съобщава, че Има пукнатина на челното стъкло след удар от предмет.",Auto,Glass damage,Medium,Motor Claims
Настъпила е смърт вследствие на злополука. Подадено е уведомление към застрахователя.,Accident,Death benefit,Critical,Accident Claims
По първоначална информация Извършено е лечение в спешно отделение.,Health,Emergency treatment,Critical,Health Claims
"Клиентът съобщава, че Пътуването е прекъснато поради отменен полет. Необходима е допълнителна проверка на обстоятелствата.",Travel,Flight cancellation,Medium,Travel Claims
Откраднати са гуми и джанти от автомобила. Подадено е уведомление към застрахователя.,Auto,Theft,High,Motor Claims
Вода е навлязла в купето и е повредила електрониката.,Auto,Flood,High,Motor Claims
"В уведомлението е посочено, че Градушка е счупила предното стъкло и е нанесла щети по боята. Клиентът представя документи за събитието.",Auto,Hail,Low,Motor Claims
По първоначална информация Куфарът е получен със значително закъснение.,Travel,Delayed baggage,Medium,Travel Claims
"Клиентът съобщава, че По време на пътуване са направени медицински разходи.",Travel,Medical expenses,Medium,Travel Claims
Буря е нанесла щети по фасадата на къщата. Подадено е уведомление към застрахователя.,Property,Storm,High,Property Claims
"В уведомлението е посочено, че Клиентът има постоянни увреждания след инцидент.",Accident,Permanent disability,Critical,Accident Claims
По първоначална информация Необходими са адвокатски разходи за защита. Необходима е допълнителна проверка на обстоятелствата.,Liability,Legal expenses,Medium,Liability Claims
"Клиентът съобщава, че Куфарът е получен със значително закъснение. Необходима е допълнителна проверка на обстоятелствата.",Travel,Delayed baggage,Medium,Travel Claims
"Клиентът съобщава, че Пожар е унищожил част от кухнята. Клиентът представя документи за събитието.",Property,Fire,High,Property Claims
По първоначална информация Застрахованият е причинил щети на чуждо имущество. Клиентът представя документи за събитието.,Liability,Property damage,High,Liability Claims
Силен вятър е повредил прозорци и външна изолация. Клиентът представя документи за събитието.,Property,Storm,Medium,Property Claims
По първоначална информация Буря е нанесла щети по фасадата на къщата. Подадено е уведомление към застрахователя.,Property,Storm,Medium,Property Claims
Извършено е амбулаторно лечение. Необходима е допълнителна проверка на обстоятелствата.,Health,Outpatient treatment,Medium,Health Claims
"Клиентът съобщава, че В двигателния отсек е възникнал пожар и автомобилът е силно увреден. Необходима е допълнителна проверка на обстоятелствата.",Auto,Fire,Critical,Motor Claims
"В уведомлението е посочено, че Има болничен престой след остро заболяване. Клиентът представя документи за събитието.",Health,Hospitalization,Medium,Health Claims
"Клиентът съобщава, че Водачът е изгубил контрол и се е ударил в мантинела на магистрала. Подадено е уведомление към застрахователя.",Auto,Collision,Medium,Motor Claims
"Клиентът съобщава, че Водопроводна авария е наводнила коридора. Налични са снимки на увредените части.",Property,Burst pipe,Medium,Property Claims
По първоначална информация Има теч от покрива след буря. Клиентът представя документи за събитието.,Property,Roof damage,High,Property Claims
По първоначална информация Силен вятър е повредил прозорци и външна изолация. Подадено е уведомление към застрахователя.,Property,Storm,Medium,Property Claims
"Клиентът съобщава, че Клиентът е посетил специалист и е заплатил преглед.",Health,Outpatient treatment,Low,Health Claims
"В уведомлението е посочено, че Счупено е страничното стъкло на автомобила.",Auto,Glass damage,Medium,Motor Claims
След инцидент е установена фрактура на крак. Клиентът представя документи за събитието.,Accident,Fracture,Medium,Accident Claims
"Клиентът съобщава, че Багажът не е пристигнал на летището. Подадено е уведомление към застрахователя.",Travel,Lost baggage,High,Travel Claims
По първоначална информация От жилището са откраднати техника и лични вещи. Необходима е допълнителна проверка на обстоятелствата.,Property,Theft,Medium,Property Claims
Водопроводна авария е наводнила коридора. Клиентът представя документи за събитието.,Property,Burst pipe,Medium,Property Claims
По първоначална информация Клиентът съобщава за кражба на автомобила пред блока. Клиентът представя документи за събитието.,Auto,Theft,Critical,Motor Claims
"В уведомлението е посочено, че При движение извън града е настъпил сблъсък с животно.",Auto,Animal collision,High,Motor Claims
Клиентът е посетил специалист и е заплатил преглед.,Health,Outpatient treatment,Low,Health Claims
По първоначална информация Сградата е получила конструктивни повреди след трус.,Property,Earthquake,Critical,Property Claims
По първоначална информация Клиентът е бил хоспитализиран за няколко дни. Налични са снимки на увредените части.,Health,Hospitalization,Medium,Health Claims
"Клиентът съобщава, че В двигателния отсек е възникнал пожар и автомобилът е силно увреден.",Auto,Fire,Critical,Motor Claims
"Клиентът съобщава, че Неизвестни лица са проникнали в имота и са откраднали имущество. Необходима е допълнителна проверка на обстоятелствата.",Property,Theft,High,Property Claims
"В уведомлението е посочено, че В жилището е възникнал пожар и са повредени мебели и електроуреди.",Property,Fire,Critical,Property Claims
По първоначална информация Полетът е закъснял с повече от шест часа. Подадено е уведомление към застрахователя.,Travel,Flight delay,Low,Travel Claims
"В уведомлението е посочено, че Силен вятър е повредил прозорци и външна изолация. Необходима е допълнителна проверка на обстоятелствата.",Property,Storm,Medium,Property Claims
"В уведомлението е посочено, че Извършено е лечение в спешно отделение. Подадено е уведомление към застрахователя.",Health,Emergency treatment,Critical,Health Claims
По първоначална информация Апартаментът е наводнен след авария в банята. Налични са снимки на увредените части.,Property,Flood,Medium,Property Claims
Буря е нанесла щети по фасадата на къщата. Подадено е уведомление към застрахователя.,Property,Storm,Medium,Property Claims
По първоначална информация Предното стъкло е спукано от камък по време на движение. Налични са снимки на увредените части.,Auto,Glass damage,Low,Motor Claims
"Клиентът съобщава, че Авиокомпанията е загубила регистрирания багаж. Клиентът представя документи за събитието.",Travel,Lost baggage,Medium,Travel Claims
"Клиентът съобщава, че Клиентът иска възстановяване на разходи за лекарства. Клиентът представя документи за събитието.",Health,Medication reimbursement,Low,Health Claims
"В уведомлението е посочено, че Покривът е повреден след силен вятър. Клиентът представя документи за събитието.",Property,Roof damage,Medium,Property Claims
"Клиентът съобщава, че Извършено е лечение в спешно отделение. Клиентът представя документи за събитието.",Health,Emergency treatment,High,Health Claims
По първоначална информация Колата е била паркирана в подземен гараж при наводнение. Подадено е уведомление към застрахователя.,Auto,Flood,High,Motor Claims
Куфарът е получен със значително закъснение. Клиентът представя документи за събитието.,Travel,Delayed baggage,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът иска възстановяване на разходи за лекарства. Клиентът представя документи за събитието.",Health,Medication reimbursement,Low,Health Claims
По първоначална информация Подадена е претенция за смъртно обезщетение. Подадено е уведомление към застрахователя.,Accident,Death benefit,Critical,Accident Claims
По първоначална информация Пътуването е прекъснато поради отменен полет. Подадено е уведомление към застрахователя.,Travel,Flight cancellation,Medium,Travel Claims
Друг водач е отнел предимство и е ударил автомобила отстрани. Подадено е уведомление към застрахователя.,Auto,Side collision,High,Motor Claims
"Клиентът съобщава, че Необходима е спешна евакуация по медицински причини.",Travel,Emergency evacuation,Critical,Travel Claims
По първоначална информация По време на пътуване са направени медицински разходи. Налични са снимки на увредените части.,Travel,Medical expenses,Medium,Travel Claims
Клиентът е отговорен за материални щети към трета страна. Налични са снимки на увредените части.,Liability,Property damage,Medium,Liability Claims
"В уведомлението е посочено, че Причинена е телесна повреда на друго лице.",Liability,Bodily injury,Critical,Liability Claims
По първоначална информация Водопроводна авария е наводнила коридора.,Property,Burst pipe,High,Property Claims
По първоначална информация Автомобилът е надраскан умишлено с остър предмет. Налични са снимки на увредените части.,Auto,Vandalism,Medium,Motor Claims
"Клиентът съобщава, че На паркинг неизвестен автомобил е ударил колата и е повредена вратата. Подадено е уведомление към застрахователя.",Auto,Collision,High,Motor Claims
"Клиентът съобщава, че Подадена е претенция за смъртно обезщетение. Необходима е допълнителна проверка на обстоятелствата.",Accident,Death benefit,Critical,Accident Claims
По първоначална информация Клиентът има правни разходи във връзка с претенция. Необходима е допълнителна проверка на обстоятелствата.,Liability,Legal expenses,Medium,Liability Claims
По първоначална информация Пожар е унищожил купето на автомобила.,Auto,Fire,High,Motor Claims
"Клиентът съобщава, че След пренапрежение са изгорели електроуреди. Подадено е уведомление към застрахователя.",Property,Electrical damage,Medium,Property Claims
"В уведомлението е посочено, че Пожар е унищожил купето на автомобила. Необходима е допълнителна проверка на обстоятелствата.",Auto,Fire,Critical,Motor Claims
Пострадал е посетител в обект на застрахования. Подадено е уведомление към застрахователя.,Liability,Bodily injury,Critical,Liability Claims
"В уведомлението е посочено, че Настъпила е смърт вследствие на злополука.",Accident,Death benefit,Critical,Accident Claims
"Клиентът съобщава, че Полетът е отменен и клиентът е направил допълнителни разходи.",Travel,Flight cancellation,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът е получил лечение в болница в чужбина. Клиентът представя документи за събитието.",Travel,Medical expenses,Medium,Travel Claims
"В уведомлението е посочено, че След инцидент е установена фрактура на крак. Налични са снимки на увредените части.",Accident,Fracture,Medium,Accident Claims
По първоначална информация При движение извън града е настъпил сблъсък с животно. Налични са снимки на увредените части.,Auto,Animal collision,High,Motor Claims
"В уведомлението е посочено, че Сградата е получила конструктивни повреди след трус. Подадено е уведомление към застрахователя.",Property,Earthquake,High,Property Claims
Възникнали са съдебни разноски по застрахователен спор. Клиентът представя документи за събитието.,Liability,Legal expenses,High,Liability Claims
Къщата е засегната от пожар и има опушени стени. Необходима е допълнителна проверка на обстоятелствата.,Property,Fire,Critical,Property Claims
Медицинска комисия е определила трайна загуба на работоспособност. Необходима е допълнителна проверка на обстоятелствата.,Accident,Permanent disability,High,Accident Claims
"В уведомлението е посочено, че В двигателния отсек е възникнал пожар и автомобилът е силно увреден. Клиентът представя документи за събитието.",Auto,Fire,Critical,Motor Claims
"Клиентът съобщава, че Представени са фактури за консултация и изследвания. Клиентът представя документи за събитието.",Health,Outpatient treatment,Medium,Health Claims
"Клиентът съобщава, че Застрахованият е причинил щети на чуждо имущество. Налични са снимки на увредените части.",Liability,Property damage,Medium,Liability Claims
По време на пътуване са направени медицински разходи.,Travel,Medical expenses,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът е останал без багаж при пристигане. Необходима е допълнителна проверка на обстоятелствата.",Travel,Delayed baggage,Low,Travel Claims
Клиентът съобщава за кражба на автомобила пред блока. Необходима е допълнителна проверка на обстоятелствата.,Auto,Theft,Critical,Motor Claims
Къщата е засегната от пожар и има опушени стени.,Property,Fire,Critical,Property Claims
"В уведомлението е посочено, че Извършено е амбулаторно лечение. Налични са снимки на увредените части.",Health,Outpatient treatment,Medium,Health Claims
Клиентът е приет по спешност след внезапно влошаване. Клиентът представя документи за събитието.,Health,Emergency treatment,High,Health Claims
По първоначална информация Клиентът е посетил специалист и е заплатил преглед. Налични са снимки на увредените части.,Health,Outpatient treatment,Medium,Health Claims
Куфарът е получен със значително закъснение. Необходима е допълнителна проверка на обстоятелствата.,Travel,Delayed baggage,Medium,Travel Claims
"В уведомлението е посочено, че Клиентът е отговорен за материални щети към трета страна.",Liability,Property damage,Medium,Liability Claims
"В уведомлението е посочено, че Клиентът съобщава за удар отзад и повреден багажник.",Auto,Rear-end collision,High,Motor Claims
По първоначална информация Има взломна кражба и повредена входна врата. Налични са снимки на увредените части.,Property,Theft,Medium,Property Claims
По първоначална информация Представени са рецепта и фактура за медикаменти. Подадено е уведомление към застрахователя.,Health,Medication reimbursement,Medium,Health Claims
Неизвестни лица са проникнали в имота и са откраднали имущество. Налични са снимки на увредените части.,Property,Theft,High,Property Claims
"В уведомлението е посочено, че Закупени са лекарства по лекарско предписание.",Health,Medication reimbursement,Medium,Health Claims
Паднали керемиди са причинили щети по тавана. Клиентът представя документи за събитието.,Property,Roof damage,High,Property Claims
"В уведомлението е посочено, че След силна буря има паднали клони върху покрива. Клиентът представя документи за събитието.",Property,Storm,High,Property Claims
По първоначална информация Къщата е засегната от пожар и има опушени стени.,Property,Fire,Critical,Property Claims
По първоначална информация В двигателния отсек е възникнал пожар и автомобилът е силно увреден. Подадено е уведомление към застрахователя.,Auto,Fire,Critical,Motor Claims
"Клиентът съобщава, че Клиентът е претърпял операция и представя болнични документи.",Health,Surgery,Critical,Health Claims
"Клиентът съобщава, че Има допълнителни разходи поради забавен полет. Налични са снимки на увредените части.",Travel,Flight delay,Low,Travel Claims
По първоначална информация Представени са рецепта и фактура за медикаменти. Налични са снимки на увредените части.,Health,Medication reimbursement,Low,Health Claims
По първоначална информация Сградата е получила конструктивни повреди след трус. Необходима е допълнителна проверка на обстоятелствата.,Property,Earthquake,Critical,Property Claims
"Клиентът съобщава, че Трето лице е пострадало по вина на застрахования. Необходима е допълнителна проверка на обстоятелствата.",Liability,Bodily injury,Critical,Liability Claims
"В уведомлението е посочено, че Клиентът е бил хоспитализиран за няколко дни. Необходима е допълнителна проверка на обстоятелствата.",Health,Hospitalization,High,Health Claims
"Клиентът съобщава, че Клиентът е транспортиран до болница с линейка. Необходима е допълнителна проверка на обстоятелствата.",Travel,Emergency evacuation,Critical,Travel Claims
